Gene name	Chromosome/scaffold name	Gene stable ID
	KI270728.1	ENSG00000273843
	KI270728.1	ENSG00000277836
	KI270733.1	ENSG00000276312
RNA5-8SN4	KI270733.1	ENSG00000276700
5_8S_rRNA	KI270733.1	ENSG00000275757
	KI270733.1	ENSG00000273739
	HG1309_PATCH	ENSG00000288372
	HG1309_PATCH	ENSG00000288288
	HG1309_PATCH	ENSG00000288129
LINC03015	HG1309_PATCH	ENSG00000288472
LINC03014	HG1309_PATCH	ENSG00000288417
	HG1309_PATCH	ENSG00000288502
	HG1309_PATCH	ENSG00000288311
	HG1309_PATCH	ENSG00000288449
FAM20C	HG1309_PATCH	ENSG00000288499
	HG1309_PATCH	ENSG00000288159
	HG1309_PATCH	ENSG00000288431
U2	GL000225.1	ENSG00000276711
U2	GL000216.2	ENSG00000274202
	HG1395_PATCH	ENSG00000288260
RNU5B-4P	HG1395_PATCH	ENSG00000288430
ECSCR	HG1395_PATCH	ENSG00000288297
SMIM33	HG1395_PATCH	ENSG00000288274
STING1	HG1395_PATCH	ENSG00000288243
	HG1395_PATCH	ENSG00000288388
NCOA4P4	HG1395_PATCH	ENSG00000288138
	HG1485_PATCH	ENSG00000288319
U6	HG1485_PATCH	ENSG00000288521
ABCD1P4	HG1485_PATCH	ENSG00000288394
	HG1485_PATCH	ENSG00000288228
PABPC1P9	HG1485_PATCH	ENSG00000288342
SLC9B1P4	HG1485_PATCH	ENSG00000288315
ACTR3BP6	HG1485_PATCH	ENSG00000288272
	HG151_NOVEL_TEST	ENSG00000290500
OR9G1	HG151_NOVEL_TEST	ENSG00000261958
OR9G9	HG151_NOVEL_TEST	ENSG00000262191
	HG151_NOVEL_TEST	ENSG00000281683
OR9G3P	HG151_NOVEL_TEST	ENSG00000262268
OR9G4	HG151_NOVEL_TEST	ENSG00000262647
OR9G2P	HG151_NOVEL_TEST	ENSG00000281777
OR5G1P	HG151_NOVEL_TEST	ENSG00000281313
OR5G4P	HG151_NOVEL_TEST	ENSG00000281279
OR5G5P	HG151_NOVEL_TEST	ENSG00000262535
OR5G3	HG151_NOVEL_TEST	ENSG00000281107
LINC02735	HG151_NOVEL_TEST	ENSG00000281839
TSPY24P	Y	ENSG00000215601
ZNF92P1Y	Y	ENSG00000215603
RBMY3AP	Y	ENSG00000231436
SERBP1P2	Y	ENSG00000225878
TSPY12P	Y	ENSG00000236435
	Y	ENSG00000278478
DUX4L19	Y	ENSG00000258991
TTTY12	Y	ENSG00000237048
TTTY7B	Y	ENSG00000147761
	Y	ENSG00000224518
OFD1P3Y	Y	ENSG00000231988
RBMY2HP	Y	ENSG00000238073
	Y	ENSG00000275866
TTTY6	Y	ENSG00000131538
ELOCP35	Y	ENSG00000271595
SLC9B1P1	Y	ENSG00000183704
USP12PY	Y	ENSG00000232927
TTTY23	Y	ENSG00000239225
KDM5DP1	Y	ENSG00000277438
TTTY7	Y	ENSG00000147753
LINC00279	Y	ENSG00000286217
DUX4L17	Y	ENSG00000259154
PRY	Y	ENSG00000169789
TSPY18P	Y	ENSG00000231874
	Y	ENSG00000273589
PCMTD1P1	Y	ENSG00000226061
	Y	ENSG00000273863
HSFY7P	Y	ENSG00000228571
	Y	ENSG00000271375
ZNF736P6Y	Y	ENSG00000224634
TUSC2P1	Y	ENSG00000285470
RBMY2AP	Y	ENSG00000226092
TTTY2B	Y	ENSG00000212856
TTTY21	Y	ENSG00000228890
PUDPP1	Y	ENSG00000234620
	Y	ENSG00000236690
CDRT15P10	Y	ENSG00000273693
USP9Y	Y	ENSG00000114374
GRK1	HG1524_PATCH	ENSG00000288263
LINC00552	HG1524_PATCH	ENSG00000288305
PRY2	Y	ENSG00000169807
TSPY25P	Y	ENSG00000234110
	Y	ENSG00000223422
OFD1P8Y	Y	ENSG00000231159
RNF19BPY	Y	ENSG00000225653
	Y	ENSG00000251618
TSPY23P	Y	ENSG00000229159
TUBB1P2	Y	ENSG00000228578
DUX4L31	Y	ENSG00000231411
TSPY13P	Y	ENSG00000187657
	Y	ENSG00000275280
ACTR3BP1	Y	ENSG00000270242
RPS24P1	Y	ENSG00000236477
TTTY1B	Y	ENSG00000129816
RCC2P2	Y	ENSG00000237997
ZNF736P8Y	Y	ENSG00000244246
RBMY2OP	Y	ENSG00000234950
EIF1AY	Y	ENSG00000198692
TSPY19P	Y	ENSG00000234583
BPY2	Y	ENSG00000183753
MTND1P12	Y	ENSG00000225433
STSP1	Y	ENSG00000227166
	Y	ENSG00000228379
CTBP2P1	Y	ENSG00000235857
MTND6P1	Y	ENSG00000223955
DLGAP5P1	Y	ENSG00000237195
CDC27P2	Y	ENSG00000237447
TTTY8B	Y	ENSG00000185700
PABPC1P5	Y	ENSG00000270455
TSPY22P	Y	ENSG00000229940
RCC2P1	Y	ENSG00000234385
SHROOM2P1	Y	ENSG00000226863
TTTY2	Y	ENSG00000212855
	Y	ENSG00000237968
TTTY18	Y	ENSG00000233699
	Y	ENSG00000286009
	Y	ENSG00000271365
DUX4L18	Y	ENSG00000259029
TSPY16P	Y	ENSG00000226223
	Y	ENSG00000235895
	Y	ENSG00000286201
RBMY2GP	Y	ENSG00000223744
ZNF736P11Y	Y	ENSG00000215537
OFD1P9Y	Y	ENSG00000230476
	Y	ENSG00000225840
BPY2DP	Y	ENSG00000229745
TOLLIP	HG152_PATCH	ENSG00000291426
RBMY2JP	Y	ENSG00000227204
CHEK2P1	Y	ENSG00000275828
	Y	ENSG00000232617
RBMY2UP	Y	ENSG00000225615
FAM224B	Y	ENSG00000230663
ZNF886P	Y	ENSG00000232522
TOLLIP-DT	HG152_PATCH	ENSG00000291427
ELOCP8	Y	ENSG00000234131
	HG152_PATCH	ENSG00000291429
OFD1P16Y	Y	ENSG00000277519
LINC02689	HG152_PATCH	ENSG00000291430
TTTY25P	Y	ENSG00000259247
FAM197Y1	Y	ENSG00000224336
	Y	ENSG00000273731
BRSK2	HG152_PATCH	ENSG00000291428
	Y	ENSG00000236951
ASS1P6	Y	ENSG00000215583
SNX18P1Y	Y	ENSG00000274162
RBMY2NP	Y	ENSG00000229208
TTTY1	Y	ENSG00000129845
	Y	ENSG00000227444
MED14P1	Y	ENSG00000233774
HSFY5P	Y	ENSG00000232475
ZNF885P	Y	ENSG00000228764
ARSFP1	Y	ENSG00000232226
	Y	ENSG00000224567
ZNF736P7Y	Y	ENSG00000241200
SURF6P1	Y	ENSG00000228518
XGY1	Y	ENSG00000227447
	HG152_PATCH	ENSG00000291441
	Y	ENSG00000274231
DUSP8	HG152_PATCH	ENSG00000291431
	Y	ENSG00000286050
ANKRD20A6P	Y	ENSG00000274502
	Y	ENSG00000235094
KRTAP5-AS1	HG152_PATCH	ENSG00000291432
	Y	ENSG00000278854
TTTY8	Y	ENSG00000183385
KRTAP5-1	HG152_PATCH	ENSG00000291433
KRTAP5-2	HG152_PATCH	ENSG00000291434
KRTAP5-3	HG152_PATCH	ENSG00000291435
KRTAP5-4	HG152_PATCH	ENSG00000291440
KRTAP5-5	HG152_PATCH	ENSG00000291443
	HG152_PATCH	ENSG00000291436
RBMY2KP	Y	ENSG00000225809
FAM99A	HG152_PATCH	ENSG00000291437
TSPY21P	Y	ENSG00000237902
FAM99B	HG152_PATCH	ENSG00000291438
TTTY19	Y	ENSG00000232419
LINC02708	HG152_PATCH	ENSG00000291439
TSPY17P	Y	ENSG00000232620
MOB2	HG152_PATCH	ENSG00000291442
TTTY4	Y	ENSG00000226906
	Y	ENSG00000230025
TSPY15P	Y	ENSG00000236786
TTTY22	Y	ENSG00000224075
TSPY11P	Y	ENSG00000238235
	Y	ENSG00000274445
MXRA5Y	Y	ENSG00000235649
DUX4L16	Y	ENSG00000258567
TSPY10	Y	ENSG00000236424
MTCYBP1	Y	ENSG00000234179
	Y	ENSG00000271309
USP9YP17	Y	ENSG00000229553
TTTY17A	Y	ENSG00000228240
AGPAT5P1	Y	ENSG00000234652
	Y	ENSG00000218410
TSPY20P	Y	ENSG00000243643
FAM41AY1	Y	ENSG00000224989
TTTY6B	Y	ENSG00000131548
ELOCP15	Y	ENSG00000232029
	Y	ENSG00000273858
TRIM60P3Y	Y	ENSG00000227830
MTND1P1	Y	ENSG00000226529
LINC00280	Y	ENSG00000229643
	Y	ENSG00000274837
PRRC2CP1	Y	ENSG00000216777
ZNF736P10Y	Y	ENSG00000216824
	Y	ENSG00000275352
	Y	ENSG00000276829
TSPY1	Y	ENSG00000258992
CDY12P	Y	ENSG00000228850
	Y	ENSG00000283076
MTND2P3	Y	ENSG00000234850
CDY13P	Y	ENSG00000224873
RBMY1KP	Y	ENSG00000229234
	Y	ENSG00000270570
TTTY21B	Y	ENSG00000237563
	Y	ENSG00000223517
	Y	ENSG00000228207
	Y	ENSG00000224917
	Y	ENSG00000286187
ARSDP1	Y	ENSG00000225117
TTTY5	Y	ENSG00000215560
CDY4P	Y	ENSG00000228411
	Y	ENSG00000235059
RBMY1D	Y	ENSG00000244395
RBMY2WP	Y	ENSG00000230727
USP9YP24	Y	ENSG00000230814
	Y	ENSG00000229725
TTTY10	Y	ENSG00000229236
UBE2V1P3	Y	ENSG00000229518
FAM8A4P	Y	ENSG00000232730
	Y	ENSG00000229308
	Y	ENSG00000244000
TRIM60P8Y	Y	ENSG00000232764
MED13P1	Y	ENSG00000236131
TSPY6P	Y	ENSG00000270073
CYCSP46	Y	ENSG00000227949
RNU6-303P	Y	ENSG00000252900
RNA5SP518	Y	ENSG00000251766
	Y	ENSG00000252689
RN7SL702P	Y	ENSG00000243980
RNA5SP520	Y	ENSG00000252315
RNA5SP521	Y	ENSG00000252012
	Y	ENSG00000273966
RNU6-109P	Y	ENSG00000252173
RNA5-8SP6	Y	ENSG00000251705
RNA5SP519	Y	ENSG00000252289
RNU6-184P	Y	ENSG00000252323
HSFY2	Y	ENSG00000169953
GPM6BP2	Y	ENSG00000236429
USP9YP2	Y	ENSG00000249501
ELOCP14	Y	ENSG00000228193
PRYP6	Y	ENSG00000248573
XKRYP2	Y	ENSG00000230904
USP9YP10	Y	ENSG00000238135
USP9YP28	Y	ENSG00000224151
RNU1-41P	Y	ENSG00000251970
OFD1P7Y	Y	ENSG00000238088
MTCYBP2	Y	ENSG00000217179
ZNF839P1	Y	ENSG00000217896
CD24P4	Y	ENSG00000185275
RNU6-255P	Y	ENSG00000252766
	Y	ENSG00000274282
GAPDHP19	Y	ENSG00000234529
CLUHP1	Y	ENSG00000238191
TAF9P1	Y	ENSG00000226353
	Y	ENSG00000275578
CDY5P	Y	ENSG00000226449
ELOCP36	Y	ENSG00000225896
PRYP1	Y	ENSG00000224166
ACTG1P2	Y	ENSG00000229129
USP9YP23	Y	ENSG00000223555
USP9YP27	Y	ENSG00000235521
RNU1-128P	Y	ENSG00000252513
TRAPPC2P3	Y	ENSG00000224964
OFD1P1Y	Y	ENSG00000226011
ELOCP6	Y	ENSG00000225740
CDY6P	Y	ENSG00000229138
USP9YP7	Y	ENSG00000224485
USP9YP6	Y	ENSG00000226116
CDY7P	Y	ENSG00000237558
USP9YP34	Y	ENSG00000233378
USP9YP32	Y	ENSG00000237616
CDY8P	Y	ENSG00000224033
ELOCP12	Y	ENSG00000230412
TRAPPC2P8	Y	ENSG00000225895
USP9YP15	Y	ENSG00000233120
RNU1-95P	Y	ENSG00000252166
USP9YP16	Y	ENSG00000232744
ACTG1P11	Y	ENSG00000229465
PRYP2	Y	ENSG00000231311
ELOCP26	Y	ENSG00000236599
CDY9P	Y	ENSG00000232899
TAF9P2	Y	ENSG00000229302
CLUHP2	Y	ENSG00000228945
FAM224A	Y	ENSG00000233522
	Y	ENSG00000278391
RNA5SP522	Y	ENSG00000251953
RNA5SP523	Y	ENSG00000252667
TUBB1P1	Y	ENSG00000249726
ELOCP13	Y	ENSG00000225716
OFD1P4Y	Y	ENSG00000229406
USP9YP14	Y	ENSG00000227494
RNU1-48P	Y	ENSG00000252209
USP9YP5	Y	ENSG00000249634
	Y	ENSG00000251510
XKRYP1	Y	ENSG00000238067
PRYP5	Y	ENSG00000233546
ELOCP7	Y	ENSG00000230377
USP9YP1	Y	ENSG00000250951
GPM6BP1	Y	ENSG00000230458
TTTY9B	Y	ENSG00000131007
RAB9AP4	Y	ENSG00000235479
TRAPPC2P7	Y	ENSG00000249606
TTTY14	Y	ENSG00000176728
RBMY3AP	HG1532_PATCH	ENSG00000291444
CDY3P	HG1532_PATCH	ENSG00000291445
TSPY25P	HG1532_PATCH	ENSG00000291446
USP9YP22	HG1532_PATCH	ENSG00000291447
TSPY16P	HG1532_PATCH	ENSG00000291448
USP9YP4	HG1532_PATCH	ENSG00000291449
ELOCP4	HG1532_PATCH	ENSG00000291450
RBMY1A3P	HG1532_PATCH	ENSG00000291451
	HG1532_PATCH	ENSG00000291452
	Y	ENSG00000267793
TTTY20	HG1532_PATCH	ENSG00000291453
	Y	ENSG00000260197
TSPY8	HG1532_PATCH	ENSG00000291455
	Y	ENSG00000288049
FAM197Y7	HG1532_PATCH	ENSG00000291456
KDM5D	Y	ENSG00000012817
	HG1532_PATCH	ENSG00000291457
TSPY4	HG1532_PATCH	ENSG00000291458
TSPY9	HG1532_PATCH	ENSG00000291459
FAM197Y2	HG1532_PATCH	ENSG00000291460
FAM197Y4	HG1532_PATCH	ENSG00000291461
FAM197Y4	HG1532_PATCH	ENSG00000291462
FAM197Y8	HG1532_PATCH	ENSG00000291454
FAM197Y8	HG1532_PATCH	ENSG00000293355
HSFY1	Y	ENSG00000172468
TGIF2LY	Y	ENSG00000176679
RBMY1F	Y	ENSG00000169800
ELOCP5	HG1535_PATCH	ENSG00000285019
CDY10P	HG1535_PATCH	ENSG00000285196
USP9YP3	HG1535_PATCH	ENSG00000285308
USP9YP8	HG1535_PATCH	ENSG00000285028
CDY11P	HG1535_PATCH	ENSG00000285455
OFD1P16Y	HG1535_PATCH	ENSG00000285477
CDY2A	Y	ENSG00000182415
ZNF736P3Y	Y	ENSG00000233126
TRIM60P9Y	Y	ENSG00000227251
RN7SKP282	Y	ENSG00000252633
Y_RNA	Y	ENSG00000251996
RNU6-941P	Y	ENSG00000252155
RNU6-521P	Y	ENSG00000252472
SRIP3	Y	ENSG00000224953
	Y	ENSG00000274365
GOT2P5	Y	ENSG00000233634
ATP5PFP1	Y	ENSG00000237701
	Y	ENSG00000273906
TRIM60P10Y	Y	ENSG00000232976
ZNF736P2Y	Y	ENSG00000226270
TRIM60P11Y	Y	ENSG00000227837
	Y	ENSG00000278602
ZNF736P1Y	Y	ENSG00000223978
	Y	ENSG00000278197
ZNF736P5Y	Y	ENSG00000230819
BPY2C	Y	ENSG00000185894
TTTY4C	Y	ENSG00000228296
DAZ4	Y	ENSG00000205916
	HG1651_PATCH	ENSG00000282467
CDY2B	Y	ENSG00000129873
RNU6-1334P	Y	ENSG00000251841
SRY	Y	ENSG00000184895
RNASEH2CP1	Y	ENSG00000237659
TOMM22P2	Y	ENSG00000232195
	Y	ENSG00000286130
RPS4Y1	Y	ENSG00000129824
OR4C12	HG1708_PATCH	ENSG00000284255
OR4C48P	HG1708_PATCH	ENSG00000284278
OR4C49P	HG1708_PATCH	ENSG00000284123
OR4C45	HG1708_PATCH	ENSG00000292249
NAP1L1P2	Y	ENSG00000229163
	Y	ENSG00000278847
ZFY	Y	ENSG00000067646
ZFY-AS1	Y	ENSG00000233070
EEF1A1P41	Y	ENSG00000223600
PSMA6P1	Y	ENSG00000215414
SFPQP1	Y	ENSG00000224035
DPPA2P1	Y	ENSG00000223915
DDX3Y	Y	ENSG00000067048
CASKP1	Y	ENSG00000234059
UTY	Y	ENSG00000183878
MIR3649	HG1815_PATCH	ENSG00000284767
ADIPOR2	HG1815_PATCH	ENSG00000285070
	HG1815_PATCH	ENSG00000285310
	HG1815_PATCH	ENSG00000285682
RPS4XP14	HG1815_PATCH	ENSG00000284817
CACNA2D4	HG1815_PATCH	ENSG00000284953
	HG1815_PATCH	ENSG00000286298
LRTM2	HG1815_PATCH	ENSG00000285383
	HG1815_PATCH	ENSG00000285149
LINC00940	HG1815_PATCH	ENSG00000285233
DCP1B	HG1815_PATCH	ENSG00000284850
	HG1815_PATCH	ENSG00000285355
CACNA1C-IT1	HG1815_PATCH	ENSG00000285291
	HG1815_PATCH	ENSG00000285324
CACNA1C-AS4	HG1815_PATCH	ENSG00000285107
CACNA1C-IT3	HG1815_PATCH	ENSG00000284775
	HG1815_PATCH	ENSG00000285924
	HG1815_PATCH	ENSG00000285983
CACNA1C-AS3	HG1815_PATCH	ENSG00000284942
	HG1815_PATCH	ENSG00000284759
CACNA1C-AS2	HG1815_PATCH	ENSG00000285101
CACNA1C-AS1	HG1815_PATCH	ENSG00000285335
CACNA1C	HG1815_PATCH	ENSG00000285479
TMSB4Y	Y	ENSG00000154620
VCY	Y	ENSG00000129864
DAZ3	Y	ENSG00000187191
DAZ1	Y	ENSG00000188120
PPP1R12BP2	Y	ENSG00000205936
SNORA70	Y	ENSG00000251925
	Y	ENSG00000286744
REREP1Y	Y	ENSG00000225189
	Y	ENSG00000230073
	Y	ENSG00000236647
AMELY	Y	ENSG00000099721
TBL1Y	Y	ENSG00000092377
GPR143YP	Y	ENSG00000232583
DAZ2	Y	ENSG00000205944
TSPY2	Y	ENSG00000168757
AGKP1	Y	ENSG00000226555
NLGN4Y-AS1	Y	ENSG00000228787
RBMY1E	Y	ENSG00000242389
NLGN4Y	Y	ENSG00000165246
SERTAD4-AS1	HG1832_PATCH	ENSG00000280963
SERTAD4	HG1832_PATCH	ENSG00000281230
ST13P19	HG1832_PATCH	ENSG00000281067
	HG1832_PATCH	ENSG00000281552
HHAT	HG1832_PATCH	ENSG00000280680
LINC00278	Y	ENSG00000231535
CDY22P	Y	ENSG00000229343
	HG1832_PATCH	ENSG00000287371
ELOCP17	Y	ENSG00000232695
OFD1P18Y	Y	ENSG00000235511
RNU5A-8P	HG1832_PATCH	ENSG00000281499
	HG1832_PATCH	ENSG00000287648
TRAPPC2P4	Y	ENSG00000232914
BPNT2P1	HG1832_PATCH	ENSG00000280937
RAB9AP3	Y	ENSG00000223655
USP9YP20	Y	ENSG00000230854
RNU1-40P	Y	ENSG00000252625
USP9YP21	Y	ENSG00000227635
XKRYP6	Y	ENSG00000237546
PRYP4	Y	ENSG00000172283
ELOCP11	Y	ENSG00000227867
CDY23P	Y	ENSG00000231716
USP9YP26	Y	ENSG00000234744
HSFY8P	Y	ENSG00000233156
OFD1P15Y	Y	ENSG00000234888
REREP2Y	Y	ENSG00000235014
	Y	ENSG00000289705
	Y	ENSG00000225876
SNORA70	Y	ENSG00000251796
PPP1R12BP1	Y	ENSG00000229238
RNU6-1314P	Y	ENSG00000252948
CYCSP48	Y	ENSG00000233843
ANKRD36P1	Y	ENSG00000188399
	Y	ENSG00000277146
VCY1B	Y	ENSG00000129862
PNPLA4P1	Y	ENSG00000235451
	Y	ENSG00000289706
OFD1P2Y	Y	ENSG00000226611
OFD1P5Y	Y	ENSG00000240438
	Y	ENSG00000286247
TBL1YP1	Y	ENSG00000225624
RPS4Y2	Y	ENSG00000280969
HSFY4P	Y	ENSG00000224482
	Y	ENSG00000216844
GAPDHP17	Y	ENSG00000229551
TMEM167AP1	Y	ENSG00000226504
	Y	ENSG00000254488
TOMM22P1	Y	ENSG00000237427
	Y	ENSG00000289707
NEFLP1	Y	ENSG00000232634
	Y	ENSG00000226918
PRORY	Y	ENSG00000183146
	Y	ENSG00000236615
	Y	ENSG00000288057
RBMY2TP	Y	ENSG00000237269
TSPY14P	Y	ENSG00000169849
RBMY1HP	Y	ENSG00000169811
	Y	ENSG00000242393
	Y	ENSG00000228257
TTTY13	Y	ENSG00000184991
ELOCP5	Y	ENSG00000271123
CDY10P	Y	ENSG00000226042
USP9YP3	Y	ENSG00000237023
USP9YP8	Y	ENSG00000229416
CDY11P	Y	ENSG00000230029
HSFY6P	Y	ENSG00000224169
USP9YP18	Y	ENSG00000223407
CDY14P	Y	ENSG00000226873
ELOCP16	Y	ENSG00000227915
XKRYP3	Y	ENSG00000236620
USP9YP25	Y	ENSG00000224866
USP9YP29	Y	ENSG00000232424
RNU1-97P	Y	ENSG00000252681
RAB9AP1	Y	ENSG00000232910
TRAPPC2P9	Y	ENSG00000232845
OFD1P11Y	Y	ENSG00000237302
PRYP3	Y	ENSG00000169763
	Y	ENSG00000277930
RNU2-57P	Y	ENSG00000252468
VDAC1P6	Y	ENSG00000231341
EIF4A1P2	Y	ENSG00000235001
KRT18P10	Y	ENSG00000214207
SNX3P1Y	Y	ENSG00000278585
RPL26P37	Y	ENSG00000235175
PCDH11Y	Y	ENSG00000099715
OFD1P10Y	Y	ENSG00000225466
ELOCP9	Y	ENSG00000231540
CDY15P	Y	ENSG00000223362
XKRYP4	Y	ENSG00000231026
USP9YP13	Y	ENSG00000224571
USP9YP11	Y	ENSG00000226369
TTTY3B	Y	ENSG00000280961
USP9YP12	Y	ENSG00000227871
RNU1-86P	Y	ENSG00000251917
RAB9AP5	Y	ENSG00000231423
TRAPPC2P10	Y	ENSG00000228465
OFD1P12Y	Y	ENSG00000232585
ELOCP10	Y	ENSG00000234081
CDY1B	Y	ENSG00000172352
CDY17P	Y	ENSG00000231375
USP9YP35	Y	ENSG00000237467
USP9YP31	Y	ENSG00000229250
CDY18P	Y	ENSG00000232205
	Y	ENSG00000235981
GOLGA6L11P	Y	ENSG00000223698
DNM1P24	Y	ENSG00000242854
	Y	ENSG00000230977
CSPG4P2Y	Y	ENSG00000244231
CSPG4P3Y	Y	ENSG00000172342
	Y	ENSG00000284071
RN7SL818P	Y	ENSG00000274234
UBE2Q2P4Y	Y	ENSG00000225491
LINC00265-2P	Y	ENSG00000224827
CICP2	Y	ENSG00000233740
SEPTIN14P22	Y	ENSG00000248792
	Y	ENSG00000279274
RBMY2XP	Y	ENSG00000234399
TTTY17B	Y	ENSG00000227439
TRIM60P5Y	Y	ENSG00000224210
ZNF736P12Y	Y	ENSG00000232003
TTTY4B	Y	ENSG00000235412
BPY2B	Y	ENSG00000183795
	Y	ENSG00000240566
ZNF736P4Y	Y	ENSG00000236379
	Y	ENSG00000274899
TTTY17C	Y	ENSG00000223641
RBMY2YP	Y	ENSG00000227633
	Y	ENSG00000279115
CICP1	Y	ENSG00000233652
LINC00265-3P	Y	ENSG00000233944
UBE2Q2P5Y	Y	ENSG00000223636
GOLGA2P3Y	Y	ENSG00000172297
RN7SL725P	Y	ENSG00000278242
	Y	ENSG00000284380
CSPG4P4Y	Y	ENSG00000172294
CSPG4P1Y	Y	ENSG00000240450
DNM1P48	Y	ENSG00000239304
	Y	ENSG00000233619
GOLGA6L16P	Y	ENSG00000197092
	Y	ENSG00000235583
CDY19P	Y	ENSG00000237823
USP9YP36	Y	ENSG00000229709
USP9YP33	Y	ENSG00000232064
CDY20P	Y	ENSG00000225609
ELOCP34	Y	ENSG00000270535
OFD1P13Y	Y	ENSG00000225287
TRAPPC2P5	Y	ENSG00000225256
RAB9AP2	Y	ENSG00000223856
USP9YP30	Y	ENSG00000235004
RNU1-107P	Y	ENSG00000252426
TTTY3	Y	ENSG00000231141
USP9YP9	Y	ENSG00000232614
USP9YP19	Y	ENSG00000225326
XKRYP5	Y	ENSG00000223406
TPTE2P4	Y	ENSG00000215506
CYCSP49	Y	ENSG00000224240
SLC25A15P1	Y	ENSG00000227629
PARP4P1	Y	ENSG00000237917
CCNQP2	Y	ENSG00000231514
CDY1	Y	ENSG00000172288
RBMY1J	Y	ENSG00000226941
TSPY9	Y	ENSG00000238074
	Y	ENSG00000289826
RBMY1B	Y	ENSG00000242875
RBMY1A1	Y	ENSG00000234414
RFTN1P1	Y	ENSG00000234795
	Y	ENSG00000290323
FAM197Y5	Y	ENSG00000225516
FAM197Y5	Y	ENSG00000290330
FAM197Y2	Y	ENSG00000234803
	Y	ENSG00000290332
RBMY2FP	Y	ENSG00000243040
RBMY2FP	Y	ENSG00000290336
	Y	ENSG00000173357
	Y	ENSG00000290342
RBMY2QP	Y	ENSG00000236718
	Y	ENSG00000290344
RBMY2BP	Y	ENSG00000224657
	Y	ENSG00000290348
	HG1_PATCH	ENSG00000285111
TTTY23B	Y	ENSG00000250204
TTTY23B	Y	ENSG00000290369
FAM197Y4	Y	ENSG00000274196
FAM197Y4	Y	ENSG00000290373
TSPY5P	Y	ENSG00000225685
	Y	ENSG00000290378
BRD7P1	HG1_PATCH	ENSG00000284831
	HG1_PATCH	ENSG00000285274
TTTY11	Y	ENSG00000180910
RN7SKP205	HG1_PATCH	ENSG00000284911
TTTY11	Y	ENSG00000290381
	HG1_PATCH	ENSG00000284904
	HG1_PATCH	ENSG00000285965
LINC00596	HG1_PATCH	ENSG00000285289
ARSLP1	Y	ENSG00000224060
DHRS4-AS1	HG1_PATCH	ENSG00000285282
	Y	ENSG00000290435
FAM197Y9	Y	ENSG00000234830
FAM197Y9	Y	ENSG00000290448
FAM197Y3	Y	ENSG00000230066
FAM197Y3	Y	ENSG00000290607
